字段1,字段2,字段3
"
          问
          服务商标就是企业名称吗        ","服务商标不是企业名称。服务商标一经核准注册，在全国享有专用权。企业名称仅在规定的区域内享有专用权。服务商标的表现形式是文字、图形及其组合，企业名称只能用文字表示。

根据《中华人民共和国商标法》第三条第一款的规定，经商标局核准注册的商标为注册商标，包括商品商标、服务商标和集体商标、证明商标；商标注册人享有商标专用权，受法律保护。","
                  法律依据：
                  《商标法》第三条

经商标局核准注册的商标为注册商标，包括商品商标、服务商标和集体商标、证明商标；商标注册人享有商标专用权，受法律保护。

本法所称集体商标，是指以团体、协会或者其他组织名义注册，供该组织成员在商事活动中使用，以表明使用者在该组织中的成员资格的标志。

本法所称证明商标，是指由对某种商品或者服务具有监督能力的组织所控制，而由该组织以外的单位或者个人使用于其商品或者服务，用以证明该商品或者服务的原产地、原料、制造方法、质量或者其他特定品质的标志。

集体商标、证明商标注册和管理的特殊事项，由国务院工商行政管理部门规定。                "
"
          问
          法律是如何规定证明商标的        ","证明商标的法律规定：《商标法》第三条规定，经商标局核准注册的商标为注册商标，包括商品商标、服务商标和集体商标、证明商标；商标注册人享有商标专用权，受法律保护。

本法所称集体商标，是指以团体、协会或者其他组织名义注册，供该组织成员在商事活动中使用，以表明使用者在该组织中的成员资格的标志。

本法所称证明商标，是指由对某种商品或者服务具有监督能力的组织所控制，而由该组织以外的单位或者个人使用于其商品或者服务，用以证明该商品或者服务的原产地、原料、制造方法、质量或者其他特定品质的标志。

集体商标、证明商标注册和管理的特殊事项，由国务院工商行政管理部门规定。","
                  法律依据：
                  《商标法》第三条

经商标局核准注册的商标为注册商标，包括商品商标、服务商标和集体商标、证明商标；商标注册人享有商标专用权，受法律保护。

本法所称集体商标，是指以团体、协会或者其他组织名义注册，供该组织成员在商事活动中使用，以表明使用者在该组织中的成员资格的标志。

本法所称证明商标，是指由对某种商品或者服务具有监督能力的组织所控制，而由该组织以外的单位或者个人使用于其商品或者服务，用以证明该商品或者服务的原产地、原料、制造方法、质量或者其他特定品质的标志。

集体商标、证明商标注册和管理的特殊事项，由国务院工商行政管理部门规定。                "
"
          问
          商标的禁用条款有哪些        ","商标的禁用条款如下：

根据《商标法》第十条规定，下列标志不得作为商标使用：

（一）同中华人民共和国的国家名称、国旗、国徽、国歌、军旗、军徽、军歌、勋章等相同或者近似的，以及同中央国家机关的名称、标志、所在地特定地点的名称或者标志性建筑物的名称、图形相同的；

（二）同外国的国家名称、国旗、国徽、军旗等相同或者近似的，但经该国政府同意的除外；

（三）同政府间国际组织的名称、旗帜、徽记等相同或者近似的，但经该组织同意或者不易误导公众的除外；

（四）与表明实施控制、予以保证的官方标志、检验印记相同或者近似的，但经授权的除外；

（五）同“红十字”、“红新月”的名称、标志相同或者近似的；

（六）带有民族歧视性的；

（七）带有欺骗性，容易使公众对商品的质量等特点或者产地产生误认的；

（八）有害于社会主义道德风尚或者有其他不良影响的。","
                  法律依据：
                  《商标法》第十条

下列标志不得作为商标使用：

（一）同中华人民共和国的国家名称、国旗、国徽、国歌、军旗、军徽、军歌、勋章等相同或者近似的，以及同中央国家机关的名称、标志、所在地特定地点的名称或者标志性建筑物的名称、图形相同的；

（二）同外国的国家名称、国旗、国徽、军旗等相同或者近似的，但经该国政府同意的除外；

（三）同政府间国际组织的名称、旗帜、徽记等相同或者近似的，但经该组织同意或者不易误导公众的除外；

（四）与表明实施控制、予以保证的官方标志、检验印记相同或者近似的，但经授权的除外。                "
"
          问
          成为“驰名商标”的办法有哪些        ","成为“驰名商标”的办法有：

1、直接申请国家工商行政管理总局商标局认定驰名商标。

2、在商标异议程序中一并向商标局申请认定驰名商标。

3、在商标争议程序中一并向国家工商行政管理总局商标评审委员会申请认定驰名商标。

4、在商标侵权行政处理过程中，向工商行政管理机关申请认定驰名商标。

5、在商标侵权民事诉讼程序中申请人民法院依法认定驰名商标。

根据《商标法》第十三条规定，为相关公众所熟知的商标，持有人认为其权利受到侵害时，可以依照本法规定请求驰名商标保护。

就相同或者类似商品申请注册的商标是复制、摹仿或者翻译他人未在中国注册的驰名商标，容易导致混淆的，不予注册并禁止使用。

就不相同或者不相类似商品申请注册的商标是复制、摹仿或者翻译他人已经在中国注册的驰名商标，误导公众，致使该驰名商标注册人的利益可能受到损害的，不予注册并禁止使用。","
                  法律依据：
                  《商标法》第十三条

为相关公众所熟知的商标，持有人认为其权利受到侵害时，可以依照本法规定请求驰名商标保护。

就相同或者类似商品申请注册的商标是复制、摹仿或者翻译他人未在中国注册的驰名商标，容易导致混淆的，不予注册并禁止使用。

就不相同或者不相类似商品申请注册的商标是复制、摹仿或者翻译他人已经在中国注册的驰名商标，误导公众，致使该驰名商标注册人的利益可能受到损害的，不予注册并禁止使用。                "
"
          问
          对商标异议裁定结果不服怎么办        ",对商标异议裁定结果不服的，根据《商标法》第三十五条第三款规定，商标局做出不予注册决定，被异议人不服的，可以自收到通知之日起十五日内向商标评审委员会申请复审。商标评审委员会应当自收到申请之日起十二个月内做出复审决定，并书面通知异议人和被异议人。有特殊情况需要延长的，经国务院工商行政管理部门批准，可以延长六个月。被异议人对商标评审委员会的决定不服的，可以自收到通知之日起三十日内向人民法院起诉。人民法院应当通知异议人作为第三人参加诉讼。,"
                  法律依据：
                  《商标法》第三十五条第三款

商标局做出不予注册决定，被异议人不服的，可以自收到通知之日起十五日内向商标评审委员会申请复审。商标评审委员会应当自收到申请之日起十二个月内做出复审决定，并书面通知异议人和被异议人。有特殊情况需要延长的，经国务院工商行政管理部门批准，可以延长六个月。被异议人对商标评审委员会的决定不服的，可以自收到通知之日起三十日内向人民法院起诉。人民法院应当通知异议人作为第三人参加诉讼。                "
"
          问
          商标的使用方式包括哪些形式        ","商标的使用方式：

1、将商标用于商品的包装上在商品的包装上使用商标；

2、将商标用于容器上在商品的容器上使用商标；

3、将商标用于广告宣传中在广告宣传中使用商标；

4、将商标用于交易文书上在合同文本等交易文书上使用商标；

5、将商标用于展览中在展览中使用商标。

《商标法》第四十八条规定，本法所称商标的使用，是指将商标用于商品、商品包装或者容器以及商品交易文书上，或者将商标用于广告宣传、展览以及其他商业活动中，用于识别商品来源的行为。","
                  法律依据：
                  《商标法》第四十八条

本法所称商标的使用，是指将商标用于商品、商品包装或者容器以及商品交易文书上，或者将商标用于广告宣传、展览以及其他商业活动中，用于识别商品来源的行为。                "
"
          问
          注册商标的续展是怎么规定的        ","根据《商标法》第四十条规定，注册商标的续展是的规定如下：

注册商标有效期满，需要继续使用的，商标注册人应当在期满前十二个月内按照规定办理续展手续；在此期间未能办理的，可以给予六个月的宽展期。每次续展注册的有效期为十年，自该商标上一届有效期满次日起计算。期满未办理续展手续的，注销其注册商标。

商标局应当对续展注册的商标予以公告。","
                  法律依据：
                  《商标法》第四十条

注册商标有效期满，需要继续使用的，商标注册人应当在期满前十二个月内按照规定办理续展手续；
在此期间未能办理的，可以给予六个月的宽展期。每次续展注册的有效期为十年，自该商标上一届有效期满次日起计算。期满未办理续展手续的，注销其注册商标。

商标局应当对续展注册的商标予以公告。                "
"
          问
          未注册驰名商标怎样进行司法认定        ","未注册商标也是可以成为驰名商标的，但进行司法认定应当考虑下列因素：

1、相关公众对该商标的知晓程度；

2、该商标使用的持续时间；

3、该商标的任何宣传工作的持续时间、程度和地理范围；

4、该商标作为驰名商标受保护的记录；

5、该商标驰名的其他因素。

根据《商标法》第十四条第二、三、四款的规定，在商标注册审查、工商行政管理部门查处商标违法案件过程中，当事人依照本法第十三条规定主张权利的，商标局根据审查、处理案件的需要，可以对商标驰名情况作出认定。

在商标争议处理过程中，当事人依照本法第十三条规定主张权利的，商标评审委员会根据处理案件的需要，可以对商标驰名情况作出认定。

在商标民事、行政案件审理过程中，当事人依照本法第十三条规定主张权利的，最高人民法院指定的人民法院根据审理案件的需要，可以对商标驰名情况作出认定。","
                  法律依据：
                  《商标法》第十四条

驰名商标应当根据当事人的请求，作为处理涉及商标案件需要认定的事实进行认定。认定驰名商标应当考虑下列因素：

（一）相关公众对该商标的知晓程度；

（二）该商标使用的持续时间；

（三）该商标的任何宣传工作的持续时间、程度和地理范围；

（四）该商标作为驰名商标受保护的记录；

（五）该商标驰名的其他因素。                "
"
          问
          店名侵权如何要赔偿        ","根据《商标法》第六十三条第一款的规定，店名侵权按照权利人因被侵权所受到的实际损失确定赔偿数额；实际损失难以确定的，可以按照侵权人因侵权所获得的利益确定；权利人的损失或者侵权人获得的利益难以确定的，参照该商标许可使用费的倍数合理确定。

《商标法》第六十七条第一款、第二款规定，未经商标注册人许可，在同一种商品上使用与其注册商标相同的商标，构成犯罪的，除赔偿被侵权人的损失外，依法追究刑事责任。

伪造、擅自制造他人注册商标标识或者销售伪造、擅自制造的注册商标标识，构成犯罪的，除赔偿被侵权人的损失外，依法追究刑事责任。","
                  法律依据：
                  《商标法》第六十三条

侵犯商标专用权的赔偿数额，按照权利人因被侵权所受到的实际损失确定；
实际损失难以确定的，可以按照侵权人因侵权所获得的利益确定；
权利人的损失或者侵权人获得的利益难以确定的，参照该商标许可使用费的倍数合理确定。对恶意侵犯商标专用权，情节严重的，可以在按照上述方法确定数额的一倍以上五倍以下确定赔偿数额。赔偿数额应当包括权利人为制止侵权行为所支付的合理开支。                "
"
          问
          申请证明商标需要提交哪些材料        ","申请证明商标需要提交以下材料：

1、《商标注册申请书》；

2、《商标代理委托书》；

3、申请人主体资格证书复印件，需加盖申请人公章；

4、商标文字或图样；

5、拟注册的商品或服务项目；

6、申请证明商标需要提交的其他材料。

根据《商标法》第二十二条规定，商标注册申请人应当按规定的商品分类表填报使用商标的商品类别和商品名称，提出注册申请。

商标注册申请人可以通过一份申请就多个类别的商品申请注册同一商标。

商标注册申请等有关文件，可以以书面方式或者数据电文方式提出。","
                  法律依据：
                  《商标法》第二十二条

商标注册申请人应当按规定的商品分类表填报使用商标的商品类别和商品名称，提出注册申请。

商标注册申请人可以通过一份申请就多个类别的商品申请注册同一商标。

商标注册申请等有关文件，可以以书面方式或者数据电文方式提出。                "
"
          问
          我国解决域名与商标冲突遵循了哪些原则        ","我国解决域名与商标冲突遵循了以下原则：

1、区分界定“恶意”与“非恶意”的界限，自觉遵守诚实信用原则；

2、建立民事责任承担原则；

3、自觉遵守诚实信用原则。

根据《商标法》第七条规定，申请注册和使用商标，应当遵循诚实信用原则。

商标使用人应当对其使用商标的商品质量负责。各级工商行政管理部门应当通过商标管理，制止欺骗消费者的行为。","
                  法律依据：
                  《商标法》第七条

申请注册和使用商标，应当遵循诚实信用原则。

商标使用人应当对其使用商标的商品质量负责。各级工商行政管理部门应当通过商标管理，制止欺骗消费者的行为。                "
"
          问
          商标注册的流程和原因        ","商标注册的流程：

1、提前设计好要注册的商标。

2、确定商标的使用范围。

3、提前查询商标是否被注册。

4、到所在地的工商局提交资料。

5、等待商标局的审核。

6、公示期。

7、商标的公布。

原因：

1、区别商品或服务的来源。

2、企业的无形财产。

3、市场竞争的有力工具。

4、注册商标可合法地在其旁加上注册商标的标志。

《商标法》第四条规定，自然人、法人或者其他组织在生产经营活动中，对其商品或者服务需要取得商标专用权的，应当向商标局申请商标注册。不以使用为目的的恶意商标注册申请，应当予以驳回。

本法有关商品商标的规定，适用于服务商标。","
                  法律依据：
                  《商标法》第四条

自然人、法人或者其他组织在生产经营活动中，对其商品或者服务需要取得商标专用权的，应当向商标局申请商标注册。不以使用为目的的恶意商标注册申请，应当予以驳回。

本法有关商品商标的规定，适用于服务商标。                "
"
          问
          商标代理组织的申请条件有哪些呢        ","商标代理组织的申请条件有：

1、有自己的名称、章程、固定办公场所，能够独立承担民事责任；

2、有3名以上商标代理人；

3、注册资本不少于五十万元；

4、商标代理机构名称中应含有“商标代理”、“知识产权代理”或与此类似的表明从事知识产权代理业务的字样；

5、核定的企业经营范围包含商标代理或知识产权代理业务。

根据《商标法实施条例》第八十四条第一款的规定，商标法所称商标代理机构，包括经工商行政管理部门登记从事商标代理业务的服务机构和从事商标代理业务的律师事务所。","
                  法律依据：
                  《商标法实施条例》第八十四条

商标法所称商标代理机构，包括经工商行政管理部门登记从事商标代理业务的服务机构和从事商标代理业务的律师事务所。

商标代理机构从事商标局、商标评审委员会主管的商标事宜代理业务的，应当按照下列规定向商标局备案：

（一）交验工商行政管理部门的登记证明文件或者司法行政部门批准设立律师事务所的证明文件并留存复印件；

（二）报送商标代理机构的名称、住所、负责人、联系方式等基本信息；

（三）报送商标代理从业人员名单及联系方式。                "
"
          问
          特殊标志的申请人是什么        ","特殊标志的申请人是应是举办社会公益活动的组织者或筹备者。申请人有权利对其名称及缩写、徽记、吉祥物等向国务院工商行政管理部门提出登记申请。申请特殊标志登记可以直接办理，也可以委托他人代理。

《商标法》第二十二条规定，商标注册申请人应当按规定的商品分类表填报使用商标的商品类别和商品名称，提出注册申请。

商标注册申请人可以通过一份申请就多个类别的商品申请注册同一商标。

商标注册申请等有关文件，可以以书面方式或者数据电文方式提出。","
                  法律依据：
                  《商标法》第二十二条

商标注册申请人应当按规定的商品分类表填报使用商标的商品类别和商品名称，提出注册申请。

商标注册申请人可以通过一份申请就多个类别的商品申请注册同一商标。

商标注册申请等有关文件，可以以书面方式或者数据电文方式提出。                "
"
          问
          商标转让合同没有约定价格怎么办        ",商标转让合同没有约定价格的，当事人可以达成补充协议或者重新签订新的商标转让合同，然后再向商标局提出申请。商标转让价格是合同中的重要条款，不具备该条款的，商标局不会核准转让的注册。《商标法》第四十一条规定，注册商标需要变更注册人的名义、地址或者其他注册事项的，应当提出变更申请。第四十二条规定，转让注册商标的，转让人和受让人应当签订转让协议，并共同向商标局提出申请。受让人应当保证使用该注册商标的商品质量。,"
                  法律依据：
                  《中华人民共和国商标法》第四十一条注册商标需要变更注册人的名义、地址或者其他注册事项的，应当提出变更申请。第四十二条转让注册商标的，转让人和受让人应当签订转让协议，并共同向商标局提出申请。受让人应当保证使用该注册商标的商品质量。转让注册商标的，商标注册人对其在同一种商品上注册的近似的商标，或者在类似商品上注册的相同或者近似的商标，应当一并转让。对容易导致混淆或者有其他不良影响的转让，商标局不予核准，书面通知申请人并说明理由。转让注册商标经核准后，予以公告。受让人自公告之日起享有商标专用权。                "
"
          问
          如何判定商标是否侵权        ","如何判定商标是否侵权?《商标法》第五十七条规定的属于商标侵权的行为，具体包括：

1、未经商标注册人的许可，在同一种商品上使用与其注册商标相同的商标；

2、未经商标注册人的许可，在同一种商品上使用与其注册商标近似的商标，或在类似商品上使用与其注册商标相同或近似的商标，容易导致混淆；

3、销售侵犯注册商标专用权的商品；

4、伪造、擅自制造他人注册商标标识或销售伪造、擅自制造的注册商标标识；

5、未经商标注册人同意，更换其注册商标并将该更换商标的商品又投入市场；

6、故意为侵犯他人商标专用权行为提供便利条件，帮助他人实施侵犯商标专用权行为；

7、给他人的注册商标专用权造成其他损害。","
                  法律依据：
                  《中华人民共和国商标法》第五十七条                "
"
          问
          公司商标怎么去转让        ","公司商标怎么去转让?公司商标转让应当与受让人签订转让协议，并办理核准申请。

《商标法》第四十二条规定，转让注册商标的，转让人和受让人应当签订转让协议，并共同向商标局提出申请。受让人应当保证使用该注册商标的商品质量。

转让注册商标的，商标注册人对其在同一种商品上注册的近似的商标，或在类似商品上注册的相同或近似的商标，应当一并转让。

对容易导致混淆或有其他不良影响的转让，商标局不予核准，书面通知申请人并说明理由。

转让注册商标经核准后，予以公告。受让人自公告之日起具有商标专用权。","
                  法律依据：
                  《中华人民共和国商标法》第四十二条                "
