字段1,字段2,字段3
"
          问
          商标的使用期限怎么规定        ","商标的使用期限怎么规定?商标的使用期限是十年，但是可以申请续展。每次续展注册的有效期为十年。

《商标法》第三十九条的规定，注册商标的有效期为十年，自核准注册之日起计算。

第四十条规定，注册商标有效期满，需要继续使用的，商标注册人应当在期满前十二个月内按照规定办理续展手续；在此期间未能办理的，可以给予六个月的宽展期。每次续展注册的有效期为十年，自该商标上一届有效期满次日起计算。期满未办理续展手续的，注销其注册商标。

商标局应当对续展注册的商标予以公告。","
                  法律依据：
                  《中华人民共和国商标法》第三十九条、四十条                "
"
          问
          商标侵权追诉期怎么规定        ","商标侵权追诉期怎么规定?商标侵权在构成假冒注册商标罪的情形下，追诉期限为十年。因他人的商标侵权行为，提起民事诉讼的诉讼时效为三年。

《中华人民共和国刑法》第八十七条规定，犯罪经过下列期限不再追诉：

（一）法定最高刑为不满五年有期徒刑的，经过五年；

（二）法定最高刑为五年以上不满十年有期徒刑的，经过十年；

（三）法定最高刑为十年以上有期徒刑的，经过十五年；

（四）法定最高刑为无期徒刑、死刑的，经过二十年。如果二十年以后认为必须追诉的，须报请最高人民检察院核准。

第二百一十三条规定，未经注册商标所有人许可，在同一种商品、服务上使用与其注册商标相同的商标，情节严重的，处三年以下有期徒刑，并处或单处罚金；情节特别严重的，处三年以上十年以下有期徒刑，并处罚金。","
                  法律依据：
                  《中华人民共和国刑法》第八十七条、二百一十三条                "
"
          问
          商标注册有效期从哪些时候起算        ","商标注册有效期从哪些时候起算?商标注册有效期的起算点为商标局核准注册之日。三句话概括注册商标有效期：保护期为十年，到期可以续展，不限制续展次数。

《商标法》第三十九条，注册商标的有效期为十年，自核准注册之日起计算。

《商标法》第四十条，注册商标有效期满，需要继续使用的，商标注册人应当在期满前十二个月内按照规定办理续展手续；在此期间未能办理的，可以给予六个月的宽展期。","
                  法律依据：
                  《中华人民共和国商标法》第三十九条、四十条                "
"
          问
          商标侵权赔偿金额怎么去确定        ","商标侵权赔偿金额怎么去确定?按下列方法进行递进式计算确定：

1、权利人损失：按照权利人因被侵权所受到的实际损失确定；

2、侵权人获益：实际损失难以确定的，可以按照侵权人因侵权所获得的利益确定；

3、参照许可费：权利人的损失或者侵权人获得的利益难以确定的，参照该商标许可使用费的倍数合理确定。

4、惩罚性赔偿：对恶意侵犯商标专用权，情节严重的，可以在按照上述方法确定数额的一倍以上五倍以下确定赔偿数额。赔偿数额应当包括权利人为制止侵权行为所支付的合理开支。

5、侵权人财务账簿及推定：人民法院为确定赔偿数额，在权利人已经尽力举证，而与侵权行为相关的账簿、资料主要由侵权人掌握的情况下，可以责令侵权人提供与侵权行为相关的账簿、资料；侵权人不提供或者提供虚假的账簿、资料的，人民法院可以参考权利人的主张和提供的证据判定赔偿数额。

6、法院酌定：权利人因被侵权所受到的实际损失、侵权人因侵权所获得的利益、注册商标许可使用费难以确定的，由人民法院根据侵权行为的情节判决给予五百万元以下的赔偿。","
                  法律依据：
                  《商标法》第六十三条                "
"
          问
          怎么去确定商标侵权赔偿        ","怎么去确定商标侵权赔偿?按下列方法进行递进式计算确定：

1、权利人损失：按照权利人因被侵权所受到的实际损失确定；

2、侵权人获益：实际损失难以确定的，可以按照侵权人因侵权所获得的利益确定；

3、参照许可费：权利人的损失或者侵权人获得的利益难以确定的，参照该商标许可使用费的倍数合理确定。

4、惩罚性赔偿：对恶意侵犯商标专用权，情节严重的，可以在按照上述方法确定数额的一倍以上五倍以下确定赔偿数额。赔偿数额应当包括权利人为制止侵权行为所支付的合理开支。

5、侵权人财务账簿及推定：人民法院为确定赔偿数额，在权利人已经尽力举证，而与侵权行为相关的账簿、资料主要由侵权人掌握的情况下，可以责令侵权人提供与侵权行为相关的账簿、资料；侵权人不提供或者提供虚假的账簿、资料的，人民法院可以参考权利人的主张和提供的证据判定赔偿数额。

6、法院酌定：权利人因被侵权所受到的实际损失、侵权人因侵权所获得的利益、注册商标许可使用费难以确定的，由人民法院根据侵权行为的情节判决给予五百万元以下的赔偿。","
                  法律依据：
                  《商标法》第六十三条                "
"
          问
          怎么去确定商标侵权的赔偿金额        ","怎么去确定商标侵权的赔偿金额?按下列方法进行递进式计算确定：

1、权利人损失：按照权利人因被侵权所受到的实际损失确定；

2、侵权人获益：实际损失难以确定的，可以按照侵权人因侵权所获得的利益确定；

3、参照许可费：权利人的损失或者侵权人获得的利益难以确定的，参照该商标许可使用费的倍数合理确定。

4、惩罚性赔偿：对恶意侵犯商标专用权，情节严重的，可以在按照上述方法确定数额的一倍以上五倍以下确定赔偿数额。赔偿数额应当包括权利人为制止侵权行为所支付的合理开支。

5、侵权人财务账簿及推定：人民法院为确定赔偿数额，在权利人已经尽力举证，而与侵权行为相关的账簿、资料主要由侵权人掌握的情况下，可以责令侵权人提供与侵权行为相关的账簿、资料；侵权人不提供或者提供虚假的账簿、资料的，人民法院可以参考权利人的主张和提供的证据判定赔偿数额。

6、法院酌定：权利人因被侵权所受到的实际损失、侵权人因侵权所获得的利益、注册商标许可使用费难以确定的，由人民法院根据侵权行为的情节判决给予五百万元以下的赔偿。","
                  法律依据：
                  《商标法》第六十三条                "
"
          问
          商标注册成功后有效期多长时间呢        ","商标注册成功后有效期多长时间呢?这个问题的答案，可以概括为三句话：保护期为十年，到期可以续展，不限制续展次数。

《商标法》第三十九条，注册商标的有效期为十年，自核准注册之日起计算。

《商标法》第四十条，注册商标有效期满，需要继续使用的，商标注册人应当在期满前十二个月内按照规定办理续展手续；在此期间未能办理的，可以给予六个月的宽展期。","
                  法律依据：
                  《中华人民共和国商标法》第三十九条、四十条                "
"
          问
          商标变更需要准备哪些资料        ","商标变更需要准备哪些资料?商标变更需要准备的资料包括：申请变更当事人的身份证明、变更申请书、有关登记机关出具的变更证明文件以及商标注册证。

《商标法实施条例》第三十条规定，变更商标注册人名义、地址或其他注册事项的，应当向商标局提交变更申请书。变更商标注册人名义的，还应当提交有关登记机关出具的变更证明文件。商标局核准的，发给商标注册人相应证明，并予以公告；不予核准的，应当书面通知申请人并说明理由。

变更商标注册人名义或地址的，商标注册人应当将其全部注册商标一并变更；未一并变更的，由商标局通知其限期改正；期满未改正的，视为放弃变更申请，商标局应当书面通知申请人。","
                  法律依据：
                  《商标法实施条例》第三十条                "
"
          问
          商标侵权免责法定要件是哪些        ","商标侵权免责法定要件是哪些?《商标法》第六十四条的规定：

第一种情况是，注册人三年未使用，注册商标专用权人不能证明此前三年内实际使用过该注册商标，也不能证明因侵权行为受到其他损失的。

第二种情况是，合法来源，被控侵权人销售不知道是侵犯注册商标专用权的商品，能证明该商品是自己合法取得并说明提供者的。

详情请查看《商标法》第六十四条规定。","
                  法律依据：
                  《中华人民共和国商标法》第六十四条                "
"
          问
          公司变更要办理商标吗        ","公司变更要办理商标吗?公司变更商标，如涉及到注册人的地址等注册事项，应当办理变更登记。

《商标法实施条例》第三十条的规定，变更商标注册人名义、地址或其他注册事项的，应当向商标局提交变更申请书。变更商标注册人名义的，还应当提交有关登记机关出具的变更证明文件。商标局核准的，发给商标注册人相应证明，并予以公告；不予核准的，应当书面通知申请人并说明理由。

变更商标注册人名义或地址的，商标注册人应当将其全部注册商标一并变更；未一并变更的，由商标局通知其限期改正；期满未改正的，视为放弃变更申请，商标局应当书面通知申请人。","
                  法律依据：
                  《商标法实施条例》第三十条                "
"
          问
          超市的商标侵权怎么去赔偿        ","超市的商标侵权怎么去赔偿?按下列方法进行递进式计算确定：

1、权利人损失：按照权利人因被侵权所受到的实际损失确定；

2、侵权人获益：实际损失难以确定的，可以按照侵权人因侵权所获得的利益确定；

3、参照许可费：权利人的损失或者侵权人获得的利益难以确定的，参照该商标许可使用费的倍数合理确定。

4、惩罚性赔偿：对恶意侵犯商标专用权，情节严重的，可以在按照上述方法确定数额的一倍以上五倍以下确定赔偿数额。赔偿数额应当包括权利人为制止侵权行为所支付的合理开支。

5、侵权人财务账簿及推定：人民法院为确定赔偿数额，在权利人已经尽力举证，而与侵权行为相关的账簿、资料主要由侵权人掌握的情况下，可以责令侵权人提供与侵权行为相关的账簿、资料；侵权人不提供或者提供虚假的账簿、资料的，人民法院可以参考权利人的主张和提供的证据判定赔偿数额。

6、法院酌定：权利人因被侵权所受到的实际损失、侵权人因侵权所获得的利益、注册商标许可使用费难以确定的，由人民法院根据侵权行为的情节判决给予五百万元以下的赔偿。","
                  法律依据：
                  《商标法》第六十三条                "
"
          问
          商标侵权行为的构成条件有哪些        ","商标侵权行为的构成条件有哪些?《商标法》第五十七条规定的属于商标侵权的行为，具体包括：

1、未经商标注册人的许可，在同一种商品上使用与其注册商标相同的商标；

2、未经商标注册人的许可，在同一种商品上使用与其注册商标近似的商标，或在类似商品上使用与其注册商标相同或近似的商标，容易导致混淆；

3、销售侵犯注册商标专用权的商品；

4、伪造、擅自制造他人注册商标标识或销售伪造、擅自制造的注册商标标识；

5、未经商标注册人同意，更换其注册商标并将该更换商标的商品又投入市场；

6、故意为侵犯他人商标专用权行为提供便利条件，帮助他人实施侵犯商标专用权行为；

7、给他人的注册商标专用权造成其他损害。","
                  法律依据：
                  《商标法实施条例》第七十六条、七十七条                "
"
          问
          商标转让变更要什么手续        ","商标转让变更要什么手续?商标转让变更手续包括：

1、转让人与受让人就转让价格等事项进行协商；

2、协商一致后，拟定转让协议；

3、转让注册商标的，商标注册人对其在同一种商品上注册的近似的商标，或者在类似商品上注册的相同或者近似的商标，应当一并转让。

4、签订转让协议后，双方共同向商标局提出转让注册申请；

5、转让注册商标经核准后，商标局予以公告。

请查看相关法条《商标法》第四十二条。","
                  法律依据：
                  《中华人民共和国商标法》第四十二条                "
"
          问
          商标如何注册        ","商标如何注册?商标可以按照以下流程注册：

第一步，确认拟注册商标需要使用的商品或服务属于哪个类别和类似群组；

第二步，查询，排除拟注册商标属于《商标法》规定的禁止使用或禁止作为商标注册的情形；同时，排除拟注册商标与他人在先申请或注册的商标相冲突的情形；

第三步，准备好商标注册申请需要准备的材料，向商标局提交注册申请材料；

之后，进入到以商标局审查工作为主导的阶段，申请人能做的就是配合与等待。顺利的话，几个月后，商标会被编入商标初审公告，经过三个月的公告期，没有人提出商标异议，就会被核准注册了。届时，商标局会发给申请人一本商标注册证。","
                  法律依据：
                  《中华人民共和国商标法》第二十二条第一款、二十八条                "
"
          问
          商标专利侵权应该怎么去赔偿        ","商标专利侵权应该怎么去赔偿？按下列方法进行递进式计算确定：

1、权利人损失：按照权利人因被侵权所受到的实际损失确定；

2、侵权人获益：实际损失难以确定的，可以按照侵权人因侵权所获得的利益确定；

3、参照许可费：权利人的损失或者侵权人获得的利益难以确定的，参照该商标许可使用费的倍数合理确定。

4、惩罚性赔偿：对恶意侵犯商标专用权，情节严重的，可以在按照上述方法确定数额的一倍以上五倍以下确定赔偿数额。赔偿数额应当包括权利人为制止侵权行为所支付的合理开支。

5、侵权人财务账簿及推定：人民法院为确定赔偿数额，在权利人已经尽力举证，而与侵权行为相关的账簿、资料主要由侵权人掌握的情况下，可以责令侵权人提供与侵权行为相关的账簿、资料；侵权人不提供或者提供虚假的账簿、资料的，人民法院可以参考权利人的主张和提供的证据判定赔偿数额。

6、法院酌定：权利人因被侵权所受到的实际损失、侵权人因侵权所获得的利益、注册商标许可使用费难以确定的，由人民法院根据侵权行为的情节判决给予五百万元以下的赔偿。","
                  法律依据：
                  《商标法》第六十三条                "
"
          问
          商标侵权行为有什么        ","商标侵权行为有什么?《商标法》第五十七条规定的属于商标侵权的行为，具体包括：

1、未经商标注册人的许可，在同一种商品上使用与其注册商标相同的商标；

2、未经商标注册人的许可，在同一种商品上使用与其注册商标近似的商标，或在类似商品上使用与其注册商标相同或近似的商标，容易导致混淆；

3、销售侵犯注册商标专用权的商品；

4、伪造、擅自制造他人注册商标标识或销售伪造、擅自制造的注册商标标识；

5、未经商标注册人同意，更换其注册商标并将该更换商标的商品又投入市场；

6、故意为侵犯他人商标专用权行为提供便利条件，帮助他人实施侵犯商标专用权行为；

7、给他人的注册商标专用权造成其他损害。","
                  法律依据：
                  《中华人民共和国商标法》第五十七条                "
"
          问
          商标注册需要提供哪些材料        ","商标注册需要提供的材料，以企业为例，具体如下：

1、申请人营业执照复印件；

2、盖有单位公章的填写完整的商标注册申请书；

3、清晰的商标图样，每件商标黑白图样十份，如商标为彩色，每件商标请提供彩色图样十份,黑白墨稿一份，商标图样不小于5X5CM，不大于10X10CM。

根据《商标法》第二十二条规定，商标注册申请人应当按规定的商品分类表填报使用商标的商品类别和商品名称，提出注册申请。

商标注册申请人能够通过一份申请就多个类别的商品申请注册同一商标。

商标注册申请等有关文件，能够以书面方式或者数据电文方式提出。","
                  法律依据：
                  《商标法》第二十二条                "
"
          问
          如何去算商标侵权        ","同时符合下列情形的，就算商标侵权：

1、侵权的标识和注册商标相同或近似。使用的商品和注册商标核定使用的商品相同或类似；

2、判断被诉侵权的行为是商标性使用行为。

根据《商标法》第五十七条规定，有下列行为之一的，均属侵犯注册商标专用权：

（一）未经商标注册人的许可，在同一种商品上使用与其注册商标相同的商标的；

（二）未经商标注册人的许可，在同一种商品上使用与其注册商标近似的商标，或者在类似商品上使用与其注册商标相同或者近似的商标，容易导致混淆的；

（三）销售侵犯注册商标专用权的商品的；

（四）伪造、擅自制造他人注册商标标识或者销售伪造、擅自制造的注册商标标识的。","
                  法律依据：
                  《商标法》第五十七条                "
"
          问
          商标注册去哪里申请        ","商标注册申请人应当去商标局申请商标注册。能够自行准备相关材料到商标局办理，也能够委托商标代理机构办理，让商标代理机构做商标申请文件，以及向相关部门进行提交。

根据《商标法》第四条规定，自然人、法人或者其他组织在生产经营活动中，对其商品或者服务需要取得商标专用权的，应当向商标局申请商标注册。不以使用为目的的恶意商标注册申请，应当予以驳回。

本法有关商品商标的规定，适用于服务商标。

第十八条规定，申请商标注册或者办理其他商标事宜，能够自行办理，也能够委托依法设立的商标代理机构办理。

外国人或者外国企业在中国申请商标注册和办理其他商标事宜的，应当委托依法设立的商标代理机构办理。","
                  法律依据：
                  《商标法》第四条、十八条                "
"
          问
          商标法侵权如何去处理        ","商标法侵权的处理如下：工商行政管理部门应制止侵权行为，并根据侵权人违法事实和情节轻重，作出责令停止侵权行为，没收、销毁侵权商品和主要用于制造侵权商品、伪造注册商标标识的工具，处罚款等行政处罚。

根据《商标法》第六十条第二款规定，工商行政管理部门处理时，认定侵权行为成立的，责令立即停止侵权行为，没收、销毁侵权商品和主要用于制造侵权商品、伪造注册商标标识的工具，违法经营额五万元以上的，能够处违法经营额五倍以下的罚款，没有违法经营额或者违法经营额不足五万元的，能够处二十五万元以下的罚款。对五年内实施两次以上商标侵权行为或者有其他严重情节的，应当从重处罚。销售不知道是侵犯注册商标专用权的商品，能证明该商品是自己合法取得并说明提供者的，由工商行政管理部门责令停止销售。","
                  法律依据：
                  《商标法》第六十条                "
"
          问
          商标的使用方式包括什么        ","商标的使用方式：

1、将商标用于商品、商品包装或者容器；

2、将商标用于商品交易合同及其他交易文件；

3、将商标用于广告宣传、展览或其它商业活动；

4、将商标用于音像、电子媒体、网络等平面或立体媒体等。

根据《商标法》第四十九条规定，商标注册人在使用注册商标的过程中，自行改变注册商标、注册人名义、地址或者其他注册事项的，由地方工商行政管理部门责令限期改正；期满不改正的，由商标局撤销其注册商标。

注册商标成为其核定使用的商品的通用名称或者没有正当理由连续三年不使用的，任何单位或者个人能够向商标局申请撤销该注册商标。商标局应当自收到申请之日起九个月内做出决定。有特殊情况需要延长的，经国务院工商行政管理部门批准，能够延长三个月。","
                  法律依据：
                  《商标法》第四十九条                "
"
          问
          公司名字被抢注商标如何解决        ","公司名字被抢注商标的处理方式：

1、公司名称已经做为商标使用多年的，可以通过商标异议、商标宣告无效等途径拿回来；

2、在公司名称原有基础上进行修改。

《中华人民共和国商标法》第五十九条第三款规定，商标注册人申请商标注册前，他人已经在同一种商标或者类似商标上先于商标注册人使用与注册商标相同或者相近并有一定影响的商标的，注册商标专用权人无权禁止该使用人在原使用范围内继续使用该商标，但可以要求其附加适当区别标识。

第六十条第一款规定，有本法第五十七条所列侵犯注册商标专用权行为之一，引起纠纷的，由当事人协商解决；不愿协商或者协商不成的，商标注册人或者利害关系人可以向人民法院起诉，也可以请求工商行政管理部门处理。","
                  法律依据：
                  《中华人民共和国商标法》第五十九条第一款

注册商标中含有的本商品的通用名称、图形、型号，或者直接表示商品的质量、主要原料、功能、用途、重量、数量及其他特点，或者含有的地名，注册商标专用权人无权禁止他人正当使用。                "
